,id,duration,index,match_id,timestamp,start_x,start_y,end_x,end_y
26,3c58d8e6-dc2b-497a-a3db-a92357c2c60b,1.445814,64,3939980,00:01:50.421,16.3,75.6,53.8,47.6
27,7a2d8b6d-b055-4743-a654-e78486ad8105,2.185676,65,3939980,00:01:51.867,66.3,32.5,88.8,27.3
28,3c6d107d-f70b-4e93-a14a-a2cb1b8e0ea3,3.17672,66,3939980,00:01:54.053,31.3,52.8,74.6,69.7
29,1d896c0c-7869-4789-857b-162895fd7633,0.960351,77,3939980,00:02:01.107,58.4,73.7,53.0,72.9
30,efd55d5c-8684-40e7-b9e3-c78ea593f2f0,0.735695,80,3939980,00:02:02.067,53.6,72.6,55.2,68.0
31,61aced70-2b3b-4284-a7f9-08bd7f2424ef,1.517955,83,3939980,00:02:03.688,49.4,65.5,43.8,43.3
32,d33e5fe9-b9da-40b5-828d-3a405f1fc43b,1.120022,86,3939980,00:02:06.914,44.0,41.4,49.4,9.9
33,46ff9d2b-9714-42f0-8788-467ed40e537b,3.257542,92,3939980,00:02:26.786,57.2,6.6,40.5,21.7
34,ecf3cf07-fb57-41f5-aa3a-d67958cb8f1a,1.238083,94,3939980,00:02:30.044,40.5,21.7,39.4,55.6
35,0f64f893-9d62-480c-858b-7215e82601da,0.973376,96,3939980,00:02:31.282,39.6,53.2,53.8,46.4
36,ad64b19a-bf40-42c7-bb32-39b968d602b3,1.263464,99,3939980,00:02:33.278,54.1,42.6,67.2,25.3
37,140a2a92-44cb-44c1-92ff-eacfc982e65c,1.304236,102,3939980,00:02:35.741,70.9,22.8,97.9,24.5
38,5f12232c-c6db-43dc-9fc8-15fbb66895d4,1.128608,107,3939980,00:02:46.563,110.5,0.1,117.9,7.4
39,31945ec7-37ab-4cab-8f53-011cd08787b3,1.112942,123,3939980,00:04:15.224,120.0,0.1,113.1,37.6
40,3f0ab34f-7939-49a5-8cde-1fdffd83e84c,4.416004,126,3939980,00:04:16.337,112.2,36.0,109.2,77.0
41,50c7f65d-4fcf-4386-b253-b9edee6488da,1.344849,134,3939980,00:04:28.019,25.8,7.8,44.9,0.1
42,60349520-48ef-46d7-adfc-3fb2ef3c37d7,3.308152,135,3939980,00:04:41.008,75.2,80.0,75.2,70.7
43,041bac4e-bd0f-4cfb-98d5-c64d42d9e67d,0.744728,137,3939980,00:04:48.755,75.2,70.7,54.2,23.5
44,6e00aedc-9536-4a49-884a-75eda341019a,0.841901,139,3939980,00:04:52.856,54.9,26.1,46.0,42.0
45,eb4b5c4c-5362-425f-9a2e-e13e2d9812b0,0.980054,142,3939980,00:04:56.976,45.9,40.3,64.0,27.9
46,d6c38cbd-adae-4b9a-93f0-c211a6e52f8f,2.023269,147,3939980,00:05:01.635,67.6,44.4,85.7,80.0
51,b740e1db-a4ca-4d2c-b869-88c4d1a95fc4,1.04166,164,3939980,00:05:24.234,87.9,22.3,106.9,35.4
53,5bcbc578-d7c3-4faf-aae2-8528fceaafa0,2.025917,170,3939980,00:06:00.725,36.6,46.4,52.7,43.6
54,15c4bad8-e9eb-485c-b0ea-0ee925a2a584,0.980024,172,3939980,00:06:03.383,55.0,43.0,66.5,40.6
55,431c4718-9b93-48e5-a4b5-819ebc10399b,1.26543,175,3939980,00:06:05.287,64.6,40.4,56.4,46.0
56,1b1236d6-1572-4876-9d34-c7e24ad49478,1.999998,178,3939980,00:06:06.652,56.4,44.2,64.6,62.0
57,53f16832-9625-46c1-8ae9-abaef3b207ab,1.533116,182,3939980,00:06:09.439,68.7,66.1,77.1,77.8
58,2ee62de8-c071-4aab-8341-d5f088ae1f19,1.089427,185,3939980,00:06:11.572,80.5,77.5,91.9,60.6
59,b5de82a1-9f1d-4536-b3f5-0a00646d871d,2.731093,187,3939980,00:06:12.662,91.9,59.5,120.0,70.7
64,7f87d6b6-bd38-42dc-87e0-27f96b801dab,1.801623,198,3939980,00:07:04.961,74.1,80.0,92.7,73.5
65,45a78e5f-4c0b-4f0d-9b17-a780cc57403d,0.427554,201,3939980,00:07:06.763,93.9,73.7,90.1,71.9
66,0740fee2-d320-4cba-9095-cddc52091fb2,0.64656,204,3939980,00:07:08.008,94.4,71.5,91.1,65.0
67,77edb6d8-1c4f-404c-9ed0-188706f796ec,3.468006,210,3939980,00:07:11.532,112.7,58.1,112.2,9.1
68,33b626ed-013c-4b35-8a90-4d6929ec0093,0.853148,213,3939980,00:07:19.149,106.7,8.3,91.3,18.3
69,05b60ed0-adf3-4c1f-b623-95618b0eb1fc,1.254301,217,3939980,00:07:20.988,85.7,15.9,84.3,41.4
70,5fc21e79-510f-4c56-b64d-be1708ce4523,2.304768,221,3939980,00:07:23.361,84.8,44.6,118.2,68.2
71,11d8be36-68d7-490f-a42c-d4edbbf31dc0,1.343956,224,3939980,00:07:25.892,118.2,68.2,109.8,48.5
72,fbd1b03f-1ae3-4b9d-aa87-98df35d3ddcd,1.130439,229,3939980,00:07:31.042,68.4,74.5,93.9,75.7
